🕘️更新时间,#genre#
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
山东卫视,http://207.56.13.146:81/cdnlive/sdws.m3u8
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
四川卫视,https://live.264788.xyz/channel/sichuanweishi4k?streamid=401bf692a1a8b91298f26077d53316d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
四川卫视,https://live.264788.xyz/channel/sichuanweishi4k?streamid=21be5901ee81559c827dc84e46f26452&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
四川卫视,http://204.12.221.218:8181/3m1080p/scws.m3u8
四川卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=scwshd
四川卫视,http://198.204.228.26/live/scwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
深圳卫视,http://204.12.221.218:8181/3m1080p/szws.m3u8
深圳卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
深圳卫视,http://207.56.13.146:81/cdnlive/szws.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
天津卫视,http://204.12.221.218:8181/3m1080p/tjws.m3u8
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd
天津卫视,http://207.56.13.146:81/cdnlive/tjws.m3u8
天津卫视,http://198.204.228.26/live/tjwshd.m3u8

☘️体育频道,#genre#
五星体育,http://82.156.243.185:54321/wxty.php
cctv5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
cctv5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
cctv5,http://82.156.243.185:36888/av3a/cctv5n.m3u8
cctv5,http://207.56.13.146:81/cdnlive/cctv5.m3u8
cctv5,http://198.204.228.26/live/cctv5p.m3u8
cctv5p,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
cctv5p,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
cctv5p,http://82.156.243.185:36888/av3a/cctv5pn.m3u8
cctv5p,http://207.56.13.146:81/cdnlive/cctv5.m3u8
cctv5p,http://198.204.228.26/live/cctv5p.m3u8
cctv16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
cctv16,http://82.156.243.185:36888/av3a/cctv16n.m3u8
cctv16,http://gmxw.7766.org:808/hls/169/index.m3u8
cctv4k,http://82.156.243.185:36888/av3a/cctv4kn.m3u8
cctv4k,http://198.204.240.250:82/live/cctv4k.m3u8
cctv8k,http://82.156.243.185:36888/av3a/cctv8kn.m3u8
cctv8k,http://192.151.150.154/live/cctv8k.m3u8
cctv5-av3a,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
cctv5-av3a,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
cctv5-av3a,http://82.156.243.185:36888/av3a/cctv5.m3u8
cctv5-av3a,http://207.56.13.146:81/cdnlive/cctv5.m3u8
cctv5-av3a,http://198.204.228.26/live/cctv5p.m3u8
cctv5p-av3a,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
cctv5p-av3a,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
cctv5p-av3a,http://82.156.243.185:36888/av3a/cctv5p.m3u8
cctv5p-av3a,http://207.56.13.146:81/cdnlive/cctv5.m3u8
cctv5p-av3a,http://198.204.228.26/live/cctv5p.m3u8
cctv16-av3a,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
cctv16-av3a,http://82.156.243.185:36888/av3a/cctv16.m3u8
cctv16-av3a,http://gmxw.7766.org:808/hls/169/index.m3u8
cctv4k-av3a,http://82.156.243.185:36888/av3a/cctv4k.m3u8
cctv4k-av3a,http://198.204.240.250:82/live/cctv4k.m3u8
cctv8k-av3a,http://82.156.243.185:36888/av3a/cctv8k.m3u8
cctv8k-av3a,http://192.151.150.154/live/cctv8k.m3u8
